,title,genres,year,originals,everything
107,Ashes of Love,"fantasy,romance,comedy,drama",2018,0,"Jin Mi is the daughter of a flower deity who is fed a pill that prevents her from feeling or expressing romantic love. She gets tangled in a love triangle with Heavenly Prince Xu Feng and the ambitious Night Deity Run Yu. fantasy,romance,comedy,drama"
108,Ash vs Evil Dead,"comedy,horror,action-and-adventure,fantasy,thriller",2015,0,"Bruce Campbell reprises his role as Ash Williams, an aging lothario and chainsaw-handed monster hunter who’s spent the last three decades avoiding maturity, and the terrors of the Evil Dead. But when a Deadite plague threatens to destroy all of mankind, he’s forced to face his demons — both metaphorical and literal. comedy,horror,action-and-adventure,fantasy,thriller"
109,Ask the Doctor,documentary,2017,1,"An innovative, fun, and exploratory factual series that addresses the state of the nation's health, the latest in medical treatments and the future of healthcare as we know it. documentary"
110,Ask the Storybots,"animation,action-and-adventure,comedy,family,musical,mystery,children",2016,1,"Based on the award-winning educational apps, the StoryBots are curious little creatures who live in the world beneath our screens and go on fun adventures to help answer kids' questions, like how night happens or why we need to brush our teeth. animation,action-and-adventure,comedy,family,musical,mystery,children"
111,Astronomy Club: The Sketch Show,comedy,2019,1,"With unique individual perspectives that converge into a unified voice, sketch comedy group Astronomy Club delivers a smart and absurd brand of humor. comedy"
112,A Taiwanese Tale of Two Cities,"drama,family,romance",2018,1,"A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters. drama,family,romance"
113,At Dolphin Bay,"comedy,drama,romance",2003,0,"At Dolphin Bay is a Taiwanese drama that stars Angela Zhang, Ambrose Hsu, Wallace Huo, and Jill Hsu. The drama aired on 2003 in SETTV. comedy,drama,romance"
114,Atelier,"drama,animation,science-fiction,comedy",2015,1,"A young ""fabric geek"" lands a job at an upscale Japanese lingerie company — and quickly discovers she'll need help to survive. drama,animation,science-fiction,comedy"
115,A Thousand Days' Promise,"drama,romance",2011,0,"A Thousand Days' Promise is a 2011 South Korean traditional melodrama about a woman who is losing her memory and the loving man who stands by her side. Written by famed drama writer Kim Soo-hyun, it aired on SBS from October 17 to December 20, 2011 on Mondays and Tuesdays at 21:55 for 20 episodes. drama,romance"
116,A Thousand Goodnights,"drama,family",2019,1,"To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way. drama,family"
117,Atomic Puppet,animation,2016,0,"Superhero Captain Atomic suffers a setback as he is shaking hands with Joey, a 12-year-old fan, when his disgruntled sidekick transforms him into a powerless puppet. The suddenly not-so-super superhero quickly realizes that the only way he can regain his former powers is to team up with the boy -- which is a dream come true for Joey but not so much for Captain Atomic. Together, the two form an unlikely and awkward partnership that allows them to become the city's newest superhero duo--known as Atomic Puppet. animation"
118,Attack on Titan,"action-and-adventure,anime,animation,drama,fantasy,horror,mystery,science-fiction",2013,0,"Several hundred years ago, humans were nearly exterminated by Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest Titans. Flash forward to the present and the city has not seen a Titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a Colossal Titan that appears out of thin air. As the smaller Titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single Titan and take revenge for all of mankind. action-and-adventure,anime,animation,drama,fantasy,horror,mystery,science-fiction"
119,Atypical,"comedy,drama,romance",2017,1,"Sam, an 18-year-old on the autism spectrum, takes a funny, yet painful, journey of self-discovery for love and independence and upends his family. comedy,drama,romance"
120,Auntie Duohe,drama,No info,0,"After losing her kin in the wake of the Second Sino-Japanese War, a Japanese girl in China stays to live with a traditional Chinese family. drama"
121,A User's Guide to Cheating Death,documentary,2017,0,"A documentary series that casts light on increasingly controversial procedures, diets and revived ancient therapies that are being sought by people desperate to dramatically alter their bodies or radically improve their health, and the booming industries that are more than happy to accept their business. documentary"
122,Aussie Gold Hunters,"documentary,action-and-adventure,reality",2017,0,"Three hard-core crews of gold prospectors take the gamble of a lifetime and battle to strike it big, deep in the wild west of outback Australia. The soaring highs and the crushing lows of the gold season are revealed as the crews pursue their all-important targets - braving brutal heat, punishing conditions, mechanical breakdowns and constant pressure. documentary,action-and-adventure,reality"
123,Autumn's Concerto,"drama,romance",2009,0,"Autumn's Concerto is a 2009 Taiwanese drama starring Ady An, Vanness Wu of F4, and Tiffany Hsu. It was produced by Sanlih E-Television and directed by Chen Hui Ling. The drama started filming in June 2009 and was completed in December 2009. It was first broadcast in Taiwan on free-to-air Taiwan Television from 4 October 2009 to 28 February 2010, on Sundays at 22:00 to 23:30. It was also shown on cable TV Sanlih E-Television on 10 October 2009 to 6 March 2010 on Saturdays at 21:00 to 22:30.Autumn's Concerto was nominated in 2010 for Best Marketing Programme at the 45th Golden Bell Awards, Taiwan.Known as the drama serial which shot the child actor Xiao Xiao Bin to stardom, Autumn's Concerto has broken records with its high ratings. Scoring 8.23 as its peak point for episode 18, which aired January 31, 2010, Autumn's Concerto has broken the records of The Prince Who Turns into a Frog to become the second highest rating Taiwanese idol drama, the highest rating being held by Fated to Love You. Autumn's Concerto now airs on Hawaii's KIKU television, weekly on Saturday's at 7:00. drama,romance"
124,Avatar: The Last Airbender,"action-and-adventure,animation,family,fantasy,mystery",2005,0,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world. action-and-adventure,animation,family,fantasy,mystery"
125,A Very Secret Service,comedy,2015,1,"At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic. comedy"
126,Avlu,"crime,drama",2018,0,"A woman entering a prison trying to establish her own justice. These women who are forced to give up their freedom are struggling in Karakuyu against their own order and their own laws. crime,drama"
127,Awake: The Million Dollar Game,"reality,family,game-show",2019,1,"Sleepless for 24 hours, contestants in the comedy game show stumble through challenges both eccentric and everyday for a chance at a $1 million prize. reality,family,game-show"
